SQL>
SQL> select di.owner
  2       , dic.column_name
  3       , dic.column_position
  4       , di.table_name
  5       , di.index_name
  6       , di.index_type
  7       , di.uniqueness
  8       , di.num_rows
  9       , di.sample_size
 10       , di.last_analyzed
 11       , di.global_stats
 12       , di.initial_extent
 13       , di.max_extents
 14       , di.next_extent
 15    from user_tables ut
 16         inner join dba_indexes di on di.table_name = ut.table_name
 17         inner join dba_ind_columns dic on dic.index_name = di.index_name
 18   --where ut.table_name like 'LBM_CLIENT_TOP'
 19  ;

OWNER                          COLUMN_NAME                    COLUMN_POSITION TABLE_NAME                     INDEX_NAME                     INDEX_TYPE                  UNIQUENES   NUM_ROWS SAMPLE_SIZE LAST_ANAL GLO INITIAL_EXTENT MAX_EXTENTS NEXT_EXTENT
STORELAND                      CODEMAGASIN                                  1 IMAGES_MAGASIN                 IMAGES_MAGASIN_PK              NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      NUMIMAGE                                     2 IMAGES_MAGASIN                 IMAGES_MAGASIN_PK              NORMAL                      UNIQUE             0           0 01-JUN-14 YES         196608  2147483645     1048576
STORELAND                      CODEOPECOMM                                  1 IMAGES_OPE_COMM                IMAGES_OPE_COMM_PK             NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEPAYS                                     2 IMAGES_OPE_COMM                IMAGES_OPE_COMM_PK             NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEPERSONNEL                                1 IMAGES_PERSONNEL               IMAGES_PERSONNEL_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEPRODUIT                                  1 IMAGES_PRODUIT_COLORIS         IMAGES_PRODUIT_COLORIS_PK      NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECOLORIS                                  2 IMAGES_PRODUIT_COLORIS         IMAGES_PRODUIT_COLORIS_PK      NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      NUMIMAGE                                     3 IMAGES_PRODUIT_COLORIS         IMAGES_PRODUIT_COLORIS_PK      NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEPRODUIT                                  1 IMPLANTATION_NOUVEAUTES        IMPLANTATION_NOUVEAUTES_PK     NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECOLORIS                                  2 IMPLANTATION_NOUVEAUTES        IMPLANTATION_NOUVEAUTES_PK     NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEMAGASIN                                  3 IMPLANTATION_NOUVEAUTES        IMPLANTATION_NOUVEAUTES_PK     NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODECOLISAGE                                 1 IMPLANTATION_NOUVEAUTES_COLIS  IMPLANTATION_NVTES_COLIS_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      CODEMAGASIN                                  2 IMPLANTATION_NOUVEAUTES_COLIS  IMPLANTATION_NVTES_COLIS_PK    NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      CODEINTERNEARTICLE                           1 IMPLANTATION_NVTES_ARTICLES    IMPLANTATION_NVTES_ARTICLES_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      CODEMAGASIN                                  2 IMPLANTATION_NVTES_ARTICLES    IMPLANTATION_NVTES_ARTICLES_PK NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      CODEDEPOT                                    1 IMPORTS_INVDEPOT               IMPORTS_INVDEPOT_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      CODEINVENTAIREDEPOT                          2 IMPORTS_INVDEPOT               IMPORTS_INVDEPOT_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      NOORDREIMPORT                                3 IMPORTS_INVDEPOT               IMPORTS_INVDEPOT_PK            NORMAL                      UNIQUE             0           0 01-JUN-14 YES         131072  2147483645     1048576
STORELAND                      CODEMAGASIN                                  1 IMPORTS_MAGASIN                IMPORTS_MAGASIN_PK             NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      CODEIMPORT                                   2 IMPORTS_MAGASIN                IMPORTS_MAGASIN_PK             NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
STORELAND                      NOORDREIMPORT                                1 IMPORTS_RECEPTION_TP           IMPORTS_RECEPTION_TP_PK        NORMAL                      NONUNIQUE          0           0 01-JUN-14 YES          65536  2147483645     1048576
STORELAND                      CODESITE                                     1 IMPUTATIONS_EC_CONSO_COMP      IMPUTATIONS_EC_CONSO_COMP_PK   NORMAL                      UNIQUE             0           0 01-JUN-14 YES         327680  2147483645     1048576
